strata,model_name,year,variable,pred,pred_lci,pred_uci
Bering,Model 20,2014,biomass_pred,12312.979970233922,9339.252346751102,16233.577391248347
Bering,Model 20,2015,biomass_pred,12076.647032955905,9507.653657706313,15339.789269710034
Bering,Model 20,2016,biomass_pred,12914.89289874287,10486.602093625554,15905.481784932765
Bering,Model 20,2017,biomass_pred,14327.440964614141,10420.589456937458,19699.035783224543
Bering,Model 20,2018,biomass_pred,14334.05000894753,11728.845105557477,17517.92165467794
Bering,Model 20,2019,biomass_pred,9983.160429037667,7938.851790767852,12553.892524836265
Bering,Model 20,2020,biomass_pred,10817.295531259962,4276.174909105784,27364.147888676096
Bering,Model 20,2021,biomass_pred,11721.126134591845,9219.449573008724,14901.626911136416
Bering,Model 20,2022,biomass_pred,12488.411514449479,9473.158385645485,16463.402785554445
Bering,Model 20,2023,biomass_pred,12488.411514449479,3335.230615479304,46761.5107124523
Bering,Model 20,2024,biomass_pred,12488.411514449479,1970.397084146741,79151.77271071293
Big,Model 20,1982,biomass_pred,1329.3231910949955,136.3953045609878,12955.72565397838
Big,Model 20,1983,biomass_pred,1329.3231910949955,203.76153700351603,8672.393094249634
Big,Model 20,1984,biomass_pred,1876.333219024394,457.67444399972646,7692.425030436146
Big,Model 20,1985,biomass_pred,3260.3571609880178,1111.5373821670073,9563.267045937911
Big,Model 20,1986,biomass_pred,7363.391445266335,3422.598032152254,15841.630558680077
Big,Model 20,1987,biomass_pred,6121.177356919253,2807.5496422488354,13345.734540547111
Big,Model 20,1988,biomass_pred,3002.3400262100126,756.2566903471777,11919.29373721591
Big,Model 20,1989,biomass_pred,2105.2949672364703,389.49434617424794,11379.541044963844
Big,Model 20,1990,biomass_pred,1476.2707955721664,234.37300640872593,9298.74773231623
Big,Model 20,1991,biomass_pred,1035.187703279436,158.55720686980476,6758.529632152785
Big,Model 20,1992,biomass_pred,996.9946043845587,182.8354621971268,5436.57247465608
Big,Model 20,1993,biomass_pred,960.210634286877,244.77941209981412,3766.6748779576255
Big,Model 20,1994,biomass_pred,924.7838033855327,458.0126568181386,1867.2520732189998
Big,Model 20,1995,biomass_pred,837.641480576128,265.7806610760015,2639.9334215709882
Big,Model 20,1996,biomass_pred,758.7105736639508,263.37777307504575,2185.6124298896716
Big,Model 20,1997,biomass_pred,703.3684320141201,252.10865359537078,1962.3568810455386
Big,Model 20,1998,biomass_pred,1412.8096210691115,529.4204305815754,3770.2191114777747
Big,Model 20,1999,biomass_pred,2905.6354247899667,1255.1097618805609,6726.6764056909615
Big,Model 20,2000,biomass_pred,3540.429864599628,1663.6933060375068,7534.227360692626
Big,Model 20,2001,biomass_pred,2216.064535572473,871.7639604901661,5633.339124343665
Big,Model 20,2002,biomass_pred,1719.8997298721745,753.7349350094863,3924.529623636387
Big,Model 20,2003,biomass_pred,1478.2285127745768,467.515040791339,4673.987669532575
Big,Model 20,2004,biomass_pred,1270.5156574111095,486.00836922707657,3321.3626306352353
Big,Model 20,2005,biomass_pred,1672.9472007153836,746.7578924665669,3747.8711167511938
Big,Model 20,2006,biomass_pred,1681.2140104459402,776.4031601186625,3640.480479867873
Big,Model 20,2007,biomass_pred,1973.8930106199082,795.4726303501253,4898.036046393192
Big,Model 20,2008,biomass_pred,2695.870590439701,1199.7239080750282,6057.825630947745
Big,Model 20,2009,biomass_pred,3707.9540101328016,1870.5924687300785,7350.036510407793
Big,Model 20,2010,biomass_pred,3764.718708489051,1758.582079721088,8059.394621088908
Big,Model 20,2011,biomass_pred,3681.579466545408,1630.4747118376315,8312.933202878483
Big,Model 20,2012,biomass_pred,2668.7712663707557,932.0087390772702,7641.924129657403
Big,Model 20,2013,biomass_pred,3477.3484559890753,1213.1798634820025,9967.155446896339
Big,Model 20,2014,biomass_pred,5058.288339018802,2013.5356653293857,12707.140658701986
Big,Model 20,2015,biomass_pred,11088.517091172163,5849.056639224666,21021.374704539663
Big,Model 20,2016,biomass_pred,12106.480303519738,5955.151141979981,24611.77925549351
Big,Model 20,2017,biomass_pred,14498.359779661767,7536.003194186966,27893.09278194806
Big,Model 20,2018,biomass_pred,21433.10306227733,12083.888944505725,38015.73392372748
Big,Model 20,2019,biomass_pred,13544.847241534164,7005.3269022031645,26189.054323617198
Big,Model 20,2020,biomass_pred,13455.120125499438,4753.444938468044,38086.11647660449
Big,Model 20,2021,biomass_pred,13365.987401945335,6847.74082258324,26088.84066403198
Big,Model 20,2022,biomass_pred,13733.239634695965,6658.955176565053,28323.042558948764
Big,Model 20,2023,biomass_pred,13733.239634695965,3125.896839747378,60335.283130849
Big,Model 20,2024,biomass_pred,13733.239634695965,1926.6635494058353,97890.40277538185
Minor,Model 20,1982,biomass_pred,7428.164620420519,149.25071327432397,369697.59418603376
Minor,Model 20,1983,biomass_pred,7428.164620420519,185.87354226478666,296855.7491063664
Minor,Model 20,1984,biomass_pred,7428.164620420519,234.7254332128048,235073.0761163083
Minor,Model 20,1985,biomass_pred,7428.164620420519,301.4833849600832,183020.4660710331
Minor,Model 20,1986,biomass_pred,7428.164620420519,395.55829940892585,139493.03986420672
Minor,Model 20,1987,biomass_pred,7428.164620420519,533.6518620565171,103396.30300441723
Minor,Model 20,1988,biomass_pred,7428.164620420519,748.3952855626842,73727.92251969034
Minor,Model 20,1989,biomass_pred,7428.164620420519,1113.7223952649585,49543.43188451388
Minor,Model 20,1990,biomass_pred,7428.164620420519,1848.8728647949422,29843.92852462943
Minor,Model 20,1991,biomass_pred,7428.164620420519,4429.279783069186,12457.472169399245
Minor,Model 20,1992,biomass_pred,8595.284340254851,2822.951368833069,26170.8060951719
Minor,Model 20,1993,biomass_pred,9945.78293091839,3364.4825032234,29400.835942578673
Minor,Model 20,1994,biomass_pred,11508.473040929633,8791.860773615317,15064.496031519982
Minor,Model 20,1995,biomass_pred,11389.873117168334,3854.806311689252,33653.88534095868
Minor,Model 20,1996,biomass_pred,11272.495418272698,3707.004303940574,34278.12393417064
Minor,Model 20,1997,biomass_pred,15253.554861517241,10095.289758486555,23047.47476096192
